id,common_name,scientific_name,confidence,rank,start_time,end_time,audio_path,county,lat,lon
51,Great horned owl,Bubo virginianus,0.321,2,4778.37,4790.37,audio/test1.flac,Riverside,33.60497,-117.61865
52,Swainson's thrush,Catharus ustulatus,0.712,1,6393.55,6405.55,,Colusa,39.28015,-122.36192
53,Northern flicker 'skew',Colaptes auratus,0.562,2,13736.87,13748.87,audio/test1.flac,Stanislaus,37.84524,-120.58629
54,Wolf howl,Canis lupus,0.93,3,7764.49,7776.49,,Sacramento,38.69764,-121.85866
55,Hermit thrush,Catharus guttatus,0.899,3,7190.99,7202.99,audio/test3.flac,El Dorado,39.04714,-120.73904
56,Common raven,Corvus corax,0.91,3,11734.76,11746.76,audio/test1.flac,Amador,38.17999,-120.09705
57,Marbled murrelet,Brachyramphus marmoratus,0.724,1,7064.97,7076.97,audio/test1.flac,Tuolumne,38.14703,-120.22375
58,Woodpecker spp. drum,NA,0.86,3,11973.95,11985.95,,Tuolumne,38.27664,-119.60023
59,Olive-sided flycatcher,Contopus cooperi,0.834,2,9466.41,9478.41,audio/test1.flac,Yolo,38.36829,-121.88724
60,Common nighthawk call,Chordeiles minor,0.998,1,10510.32,10522.32,audio/test3.flac,Imperial,33.10915,-114.55602
61,Great horned owl,Bubo virginianus,0.598,3,9222.4,9234.4,,Plumas,39.82403,-121.40128
62,Downy woodpecker call,Dryobates pubescens,0.652,3,1272.16,1284.16,,Inyo,36.45324,-116.57896
63,Canada goose,Branta canadensis,0.821,3,13414.94,13426.94,audio/test3.flac,Sonoma,38.13812,-122.43754
64,Northern flicker 'skew',Colaptes auratus,0.69,1,3478.02,3490.02,audio/test1.flac,Fresno,37.47111,-120.28159
65,Steller's jay,Cyanocitta stelleri,0.679,3,53.88,65.88,audio/test2.flac,Inyo,37.38574,-117.84851
66,Downy woodpecker call,Dryobates pubescens,0.575,3,11190.24,11202.24,,Tulare,36.66313,-118.08639
67,Dog barks,NA,0.238,3,7110.84,7122.84,audio/test2.flac,Tuolumne,38.2248,-119.99937
68,Steller's jay,Cyanocitta stelleri,0.901,2,539.72,551.72,,Sonoma,38.81147,-123.3538
69,Swainson's thrush,Catharus ustulatus,0.746,3,4246.06,4258.06,audio/test3.flac,Lassen,40.97233,-121.22707
70,Dog barks,NA,0.076,3,2018.23,2030.23,audio/test3.flac,Lassen,40.37066,-120.55242
71,Downy woodpecker call,Dryobates pubescens,0.574,1,10241.56,10253.56,audio/test3.flac,Tulare,36.09005,-119.4048
72,Northern flicker 'skew',Colaptes auratus,0.661,1,13445.98,13457.98,audio/test2.flac,Butte,39.91562,-121.77907
73,Common nighthawk call,Chordeiles minor,0.98,3,3658.52,3670.52,,Lassen,40.31606,-120.76411
74,Common nighthawk boom,Chordeiles minor,0.901,1,7985.61,7997.61,audio/test1.flac,Del Norte,41.85767,-124.11338
75,Common nighthawk call,Chordeiles minor,0.782,1,1656.61,1668.61,audio/test1.flac,Kern,35.51441,-119.07529
76,Common nighthawk boom,Chordeiles minor,0.913,1,8857.05,8869.05,audio/test1.flac,Los Angeles,33.81805,-117.70747
77,Marbled murrelet,Brachyramphus marmoratus,0.824,1,5218.39,5230.39,audio/test3.flac,Fresno,37.37838,-119.39414
78,Common raven,Corvus corax,0.907,2,8806.08,8818.08,,Monterey,36.29207,-120.68071
79,Downy woodpecker call,Dryobates pubescens,0.465,3,5974.67,5986.67,,Sonoma,38.72531,-122.82377
80,Woodpecker spp. drum,NA,0.923,1,6004.5,6016.5,audio/test1.flac,San Mateo,37.63306,-122.33657
81,Dog barks,NA,0.189,3,7409.36,7421.36,,San Luis Obispo,35.63386,-120.16113
82,Swainson's thrush,Catharus ustulatus,0.999,1,12854.94,12866.94,audio/test3.flac,El Dorado,38.98738,-120.58984
83,Swainson's thrush,Catharus ustulatus,0.862,2,14088.65,14100.65,audio/test2.flac,Colusa,38.92887,-122.27115
84,Woodpecker spp. drum,NA,0.926,1,1926.87,1938.87,,Kern,34.86806,-118.10159
85,Wrentit,Chamaea fasciata,0.608,1,2128.12,2140.12,audio/test3.flac,Modoc,41.61544,-120.87448
86,Wolf howl,Canis lupus,0.572,2,4334.21,4346.21,audio/test3.flac,Orange,33.76327,-117.74747
87,Great horned owl,Bubo virginianus,0.404,3,13735.78,13747.78,audio/test1.flac,Merced,37.42414,-120.45757
88,Woodpecker spp. drum,NA,0.879,1,12796.8,12808.8,audio/test1.flac,Mendocino,38.8413,-123.85488
89,Common raven,Corvus corax,0.887,2,13390.73,13402.73,,Sacramento,38.50217,-121.07014
90,Marbled murrelet,Brachyramphus marmoratus,0.779,3,14110.96,14122.96,audio/test3.flac,Mariposa,37.39479,-119.72866
91,Swainson's thrush,Catharus ustulatus,0.999,3,9570.88,9582.88,audio/test1.flac,Shasta,41.04529,-122.09089
92,Swainson's thrush,Catharus ustulatus,0.897,3,10546.79,10558.79,audio/test3.flac,Riverside,33.5475,-114.73947
93,Common raven,Corvus corax,0.882,2,6380.66,6392.66,audio/test1.flac,Santa Clara,37.225,-121.85903
94,Downy woodpecker call,Dryobates pubescens,0.397,1,954.55,966.55,audio/test3.flac,San Joaquin,38.04176,-121.43066
95,Common raven,Corvus corax,0.747,3,2147.02,2159.02,audio/test2.flac,Orange,33.73109,-117.66125
96,Common raven,Corvus corax,0.834,2,672.86,684.86,audio/test2.flac,Tuolumne,38.2944,-120.14657
97,Downy woodpecker call,Dryobates pubescens,0.623,2,6625.66,6637.66,audio/test1.flac,Trinity,40.88678,-122.59797
98,Swainson's thrush,Catharus ustulatus,0.999,3,14061.38,14073.38,,Shasta,41.0811,-122.42791
99,Common raven,Corvus corax,0.635,3,9594.64,9606.64,audio/test2.flac,Calaveras,38.37787,-120.09685
100,Northern flicker 'skew',Colaptes auratus,0.73,1,703.45,715.45,audio/test2.flac,Shasta,41.15336,-122.61327
101,Northern saw-whet owl,Aegolius acadicus,0.528,2,13983.75,13995.75,audio/test1.flac,Kings,36.03719,-120.03499
102,Steller's jay,Cyanocitta stelleri,0.723,2,3359.71,3371.71,,Modoc,41.94559,-120.58573
103,Northern flicker 'skew',Colaptes auratus,0.733,3,6811.04,6823.04,,Fresno,36.53376,-118.77913
104,Common raven,Corvus corax,0.826,3,5581.67,5593.67,audio/test2.flac,Orange,33.70247,-118.0923
105,Northern flicker 'skew',Colaptes auratus,0.833,2,13295.93,13307.93,audio/test2.flac,Kings,36.14172,-119.83597
106,Olive-sided flycatcher,Contopus cooperi,0.667,3,1324.35,1336.35,audio/test2.flac,Inyo,37.02495,-117.69207
107,Wrentit,Chamaea fasciata,0.679,2,1387.53,1399.53,audio/test2.flac,Mariposa,37.36418,-119.98763
108,Common raven,Corvus corax,0.743,2,4176.66,4188.66,audio/test1.flac,Tuolumne,38.11552,-119.64872
109,Downy woodpecker call,Dryobates pubescens,0.589,3,5532.76,5544.76,audio/test1.flac,Tulare,36.2872,-119.09042
110,Wolf howl,Canis lupus,0.667,1,11171.13,11183.13,audio/test2.flac,Mariposa,37.69779,-120.33999
111,Common raven,Corvus corax,0.999,1,8392.15,8404.15,audio/test3.flac,Nevada,39.19994,-120.89327
112,Common nighthawk call,Chordeiles minor,0.698,1,9363.76,9375.76,audio/test2.flac,Riverside,33.5446,-115.68721
113,Marbled murrelet,Brachyramphus marmoratus,0.803,3,12101.82,12113.82,audio/test1.flac,Butte,39.87959,-121.2857
114,Swainson's thrush,Catharus ustulatus,0.837,3,2210.47,2222.47,,Colusa,39.40281,-122.25095
115,Great horned owl,Bubo virginianus,0.426,3,2792.65,2804.65,audio/test1.flac,San Bernardino,34.50204,-114.54382
116,Steller's jay,Cyanocitta stelleri,0.813,2,13017.68,13029.68,audio/test3.flac,Humboldt,41.43996,-124.22163
117,Swainson's thrush,Catharus ustulatus,0.723,3,6722.24,6734.24,audio/test3.flac,Butte,39.84015,-121.64651
118,Swainson's thrush,Catharus ustulatus,0.999,2,6721.23,6733.23,audio/test3.flac,Shasta,40.57146,-122.30783
119,Common nighthawk boom,Chordeiles minor,0.946,3,6295.03,6307.03,,Del Norte,41.84498,-123.77904
120,Wrentit,Chamaea fasciata,0.756,3,11765.16,11777.16,,Kings,36.14996,-120.12856
121,Canada goose,Branta canadensis,0.943,1,14362.3,14374.3,audio/test1.flac,El Dorado,38.62572,-120.58505
122,Marbled murrelet,Brachyramphus marmoratus,0.973,3,8382.76,8394.76,audio/test3.flac,Kern,35.59389,-119.64576
123,Northern flicker 'skew',Colaptes auratus,0.724,3,2831.63,2843.63,audio/test3.flac,Madera,37.13927,-119.56627
124,Canada goose,Branta canadensis,0.898,2,9793.74,9805.74,,Ventura,34.39971,-118.78518
125,Great horned owl,Bubo virginianus,0.575,3,3071.12,3083.12,audio/test1.flac,San Benito,36.38618,-120.89687
126,Swainson's thrush,Catharus ustulatus,0.933,3,6611.36,6623.36,audio/test3.flac,Tulare,35.85042,-118.86525
127,Sooty grouse,Dendragapus fuliginosus,0.909,3,6107.05,6119.05,audio/test1.flac,Sacramento,38.28075,-121.13046
128,Woodpecker spp. drum,NA,0.893,2,11696.86,11708.86,audio/test2.flac,Nevada,39.16585,-120.14519
129,Dog barks,NA,0.302,3,5298.96,5310.96,audio/test2.flac,Alameda,37.51747,-122.10026
130,Woodpecker spp. drum,NA,0.656,1,3146.89,3158.89,audio/test2.flac,Mendocino,39.19841,-123.47434
131,Common nighthawk boom,Chordeiles minor,0.833,3,13741.86,13753.86,audio/test3.flac,Del Norte,41.76606,-123.73808
132,Marbled murrelet,Brachyramphus marmoratus,0.921,1,5740.74,5752.74,,San Diego,32.62718,-116.673
133,Steller's jay,Cyanocitta stelleri,0.774,3,13497.29,13509.29,audio/test3.flac,Kern,35.26579,-119.24815
134,Woodpecker spp. drum,NA,0.982,3,3328.24,3340.24,audio/test1.flac,Santa Cruz,37.02142,-122.26342
135,Northern saw-whet owl,Aegolius acadicus,0.505,1,3074.73,3086.73,,Sonoma,38.52255,-122.85817
136,Northern flicker series,Colaptes auratus,0.517,2,8461.49,8473.49,,San Luis Obispo,35.14878,-120.4548
137,Marbled murrelet,Brachyramphus marmoratus,0.97,2,5220.57,5232.57,,Siskiyou,41.82839,-122.20027
138,Wrentit,Chamaea fasciata,0.777,2,13486.28,13498.28,audio/test2.flac,Santa Cruz,37.00263,-122.0721
139,Swainson's thrush,Catharus ustulatus,0.996,2,200.4,212.4,,Tulare,36.17444,-118.70166
140,Canada goose,Branta canadensis,0.88,2,10991.69,11003.69,audio/test2.flac,Stanislaus,37.54201,-120.83122
141,Northern flicker series,Colaptes auratus,0.776,3,4712.2,4724.2,audio/test2.flac,San Luis Obispo,35.35175,-120.47809
142,Woodpecker spp. drum,NA,0.865,3,11828.73,11840.73,,San Mateo,37.54397,-122.39086
143,Hermit thrush,Catharus guttatus,0.809,1,10817.62,10829.62,audio/test1.flac,Ventura,34.27542,-119.28514
144,Steller's jay,Cyanocitta stelleri,0.451,2,14394.72,14406.72,,Marin,37.93086,-122.73836
145,Downy woodpecker call,Dryobates pubescens,0.487,2,11934.58,11946.58,audio/test3.flac,Colusa,39.23552,-122.59865
146,Northern flicker 'skew',Colaptes auratus,0.726,2,9860.71,9872.71,audio/test1.flac,Madera,36.8795,-119.12139
147,Swainson's thrush,Catharus ustulatus,0.999,3,8162.9,8174.9,,Plumas,39.98383,-120.22106
148,Northern saw-whet owl,Aegolius acadicus,0.471,1,8142.55,8154.55,audio/test3.flac,Marin,37.9175,-122.44471
149,Wolf howl,Canis lupus,0.616,1,11706.39,11718.39,audio/test3.flac,Sacramento,38.49712,-121.25831
150,Hermit thrush,Catharus guttatus,0.696,2,4928.81,4940.81,,Alpine,38.4943,-119.79778
151,Woodpecker spp. drum,NA,0.899,2,11314.8,11326.8,audio/test3.flac,Mendocino,39.96987,-122.86117
152,Common nighthawk call,Chordeiles minor,0.952,2,3416.14,3428.14,audio/test1.flac,Kings,36.18981,-119.56914
153,Northern flicker 'skew',Colaptes auratus,0.999,1,5885.95,5897.95,audio/test1.flac,Alpine,38.43639,-120.19946
154,Swainson's thrush,Catharus ustulatus,0.868,1,2143.28,2155.28,audio/test3.flac,San Diego,33.24331,-116.20689
155,Downy woodpecker call,Dryobates pubescens,0.648,1,8048.41,8060.41,audio/test3.flac,Riverside,33.68226,-115.64082
156,Canada goose,Branta canadensis,0.866,2,5985.22,5997.22,audio/test2.flac,Ventura,34.51244,-118.87168
157,Wolf howl,Canis lupus,0.598,1,9019.32,9031.32,audio/test2.flac,Riverside,33.48682,-115.23305
158,Canada goose,Branta canadensis,0.966,2,1499.4,1511.4,,Inyo,36.276,-118.74919
159,Downy woodpecker call,Dryobates pubescens,0.474,1,9387.5,9399.5,audio/test2.flac,San Francisco,37.82899,-122.4688
160,Marbled murrelet,Brachyramphus marmoratus,0.957,1,13511.23,13523.23,audio/test3.flac,Butte,39.84321,-121.22932
161,Woodpecker spp. drum,NA,0.817,3,14097.97,14109.97,audio/test1.flac,San Luis Obispo,35.67483,-119.61701
162,Sooty grouse,Dendragapus fuliginosus,0.846,1,12171.19,12183.19,,Imperial,32.88905,-116.09259
163,Woodpecker spp. drum,NA,0.912,3,3477.13,3489.13,,Glenn,39.7709,-122.06674
164,Common nighthawk boom,Chordeiles minor,0.789,3,7052.28,7064.28,audio/test3.flac,Marin,38.05114,-122.45445
165,Olive-sided flycatcher,Contopus cooperi,0.85,1,12322.4,12334.4,audio/test2.flac,San Diego,33.39246,-117.32396
166,Great horned owl,Bubo virginianus,0.659,3,244.7,256.7,audio/test2.flac,Ventura,34.01344,-119.25544
167,Steller's jay,Cyanocitta stelleri,0.819,1,3431.12,3443.12,,Mono,38.36151,-118.77561
168,Northern flicker 'skew',Colaptes auratus,0.786,3,13653.09,13665.09,audio/test2.flac,Lassen,40.10892,-120.44078
169,Canada goose,Branta canadensis,0.571,3,10808.55,10820.55,audio/test3.flac,Sutter,39.28798,-121.70874
170,Swainson's thrush,Catharus ustulatus,0.822,3,8385.6,8397.6,,Butte,39.70778,-121.81539
171,Common raven,Corvus corax,0.697,3,7203.5,7215.5,,Orange,33.80283,-117.54573
172,Dog barks,NA,0.341,1,7102.6,7114.6,,Imperial,33.22782,-114.89679
173,Marbled murrelet,Brachyramphus marmoratus,0.842,1,4848.29,4860.29,audio/test1.flac,Sonoma,38.63797,-123.3217
174,Swainson's thrush,Catharus ustulatus,0.708,3,9261.25,9273.25,,Lassen,40.45343,-121.04354
175,Northern saw-whet owl,Aegolius acadicus,0.389,1,10425.35,10437.35,,Kern,35.6193,-117.98883
176,Swainson's thrush,Catharus ustulatus,0.849,2,10070.61,10082.61,audio/test1.flac,Imperial,32.83921,-115.69845
177,Great horned owl,Bubo virginianus,0.483,1,10250.41,10262.41,,El Dorado,38.55778,-120.94862
178,Sooty grouse,Dendragapus fuliginosus,0.743,3,3621.49,3633.49,audio/test2.flac,Inyo,37.47818,-118.10978
179,Northern flicker series,Colaptes auratus,0.712,2,1156.13,1168.13,audio/test2.flac,Lake,38.75034,-122.88029
180,Marbled murrelet,Brachyramphus marmoratus,0.526,1,1571.13,1583.13,,Amador,38.46006,-120.40842
181,Downy woodpecker call,Dryobates pubescens,0.609,3,10162.92,10174.92,audio/test3.flac,San Francisco,37.70596,-122.37502
182,Common nighthawk call,Chordeiles minor,0.965,1,3768.02,3780.02,audio/test3.flac,Tuolumne,38.27216,-120.43725
183,Canada goose,Branta canadensis,0.605,2,4877.72,4889.72,audio/test3.flac,Humboldt,41.1296,-124.11566
184,Northern saw-whet owl,Aegolius acadicus,0.27,1,4636.73,4648.73,,Orange,33.74131,-117.614
185,Woodpecker spp. drum,NA,0.865,1,8085.48,8097.48,audio/test1.flac,Mendocino,39.17801,-123.98276
186,Common nighthawk boom,Chordeiles minor,0.938,2,1433.36,1445.36,audio/test1.flac,San Joaquin,38.02825,-121.54512
187,Downy woodpecker call,Dryobates pubescens,0.563,2,9371.84,9383.84,audio/test2.flac,Monterey,36.75453,-121.27927
188,Swainson's thrush,Catharus ustulatus,0.652,1,13128.67,13140.67,audio/test2.flac,Santa Cruz,37.08928,-122.30823
189,Wrentit,Chamaea fasciata,0.89,2,10204.15,10216.15,audio/test1.flac,San Benito,36.55686,-120.95269
190,Dog barks,NA,0.181,2,10011.19,10023.19,audio/test3.flac,Tuolumne,37.75165,-119.35519
191,Common nighthawk call,Chordeiles minor,0.676,1,9912.23,9924.23,,Shasta,40.85145,-122.69891
192,Marbled murrelet,Brachyramphus marmoratus,0.627,3,9124.33,9136.33,audio/test1.flac,Siskiyou,41.997,-122.26105
193,Woodpecker spp. drum,NA,0.828,3,11360.26,11372.26,audio/test2.flac,Contra Costa,38.06903,-122.02833
194,Northern flicker series,Colaptes auratus,0.782,3,605.92,617.92,audio/test3.flac,Tuolumne,38.33785,-120.57059
195,Olive-sided flycatcher,Contopus cooperi,0.701,3,5251.85,5263.85,audio/test2.flac,Alameda,37.68585,-121.89128
196,Common nighthawk boom,Chordeiles minor,0.999,3,6986.78,6998.78,audio/test3.flac,Del Norte,41.63327,-123.76974
197,Great horned owl,Bubo virginianus,0.446,3,5955.88,5967.88,audio/test1.flac,Alpine,38.64666,-119.79563
198,Woodpecker spp. drum,NA,0.796,3,12497.21,12509.21,,Glenn,39.36089,-122.64155
199,Woodpecker spp. drum,NA,0.601,1,11543.77,11555.77,audio/test2.flac,Santa Barbara,34.75578,-119.50733
200,Northern flicker 'skew',Colaptes auratus,0.682,3,5176.35,5188.35,audio/test1.flac,Imperial,33.10319,-115.60791
201,Dog barks,NA,0.207,3,8436.61,8448.61,,Tuolumne,37.72851,-120.49772
202,Common nighthawk boom,Chordeiles minor,0.809,1,6164.4,6176.4,,Calaveras,38.33322,-120.86675
203,Common raven,Corvus corax,0.882,1,14366.69,14378.69,audio/test2.flac,Colusa,38.95177,-122.19617
204,Dog barks,NA,0.386,2,13452.7,13464.7,audio/test3.flac,San Benito,36.56678,-121.18156
205,Sooty grouse,Dendragapus fuliginosus,0.803,1,3462.96,3474.96,,Placer,39.0506,-120.58063
206,Wrentit,Chamaea fasciata,0.836,1,13101.33,13113.33,audio/test2.flac,Sutter,38.97577,-121.47467
207,Wrentit,Chamaea fasciata,0.659,3,1463.08,1475.08,audio/test1.flac,Sutter,39.08591,-121.38787
208,Wrentit,Chamaea fasciata,0.808,3,1185.47,1197.47,audio/test3.flac,San Diego,32.78559,-116.99133
209,Common nighthawk boom,Chordeiles minor,0.739,1,12764.82,12776.82,audio/test1.flac,Del Norte,41.90894,-124.27253
210,Sooty grouse,Dendragapus fuliginosus,0.925,3,5647.45,5659.45,,Merced,37.41831,-121.13508
211,Great horned owl,Bubo virginianus,0.5,1,4497.43,4509.43,audio/test2.flac,San Bernardino,35.15597,-116.6317
212,Hermit thrush,Catharus guttatus,0.989,1,6277.83,6289.83,audio/test1.flac,Yolo,38.54837,-121.55293
213,Olive-sided flycatcher,Contopus cooperi,0.865,2,7820.08,7832.08,audio/test2.flac,Nevada,39.56211,-120.21699
214,Canada goose,Branta canadensis,0.999,3,2227.49,2239.49,audio/test3.flac,Stanislaus,37.44249,-121.14567
215,Marbled murrelet,Brachyramphus marmoratus,0.683,1,7098.62,7110.62,audio/test3.flac,Imperial,33.19809,-115.18716
216,Wolf howl,Canis lupus,0.561,2,11150.43,11162.43,audio/test2.flac,Mendocino,39.95998,-123.06192
217,Downy woodpecker call,Dryobates pubescens,0.753,3,2482.79,2494.79,audio/test2.flac,Mono,37.66594,-119.07026
218,Wrentit,Chamaea fasciata,0.77,2,5633.68,5645.68,audio/test3.flac,Lake,38.97334,-122.4616
219,Great horned owl,Bubo virginianus,0.648,1,3978.35,3990.35,,Ventura,34.7811,-118.99812
220,Sooty grouse,Dendragapus fuliginosus,0.744,2,8128.78,8140.78,audio/test1.flac,Santa Cruz,37.04108,-121.72583
221,Swainson's thrush,Catharus ustulatus,0.718,3,13767.15,13779.15,audio/test1.flac,Santa Clara,36.99545,-121.25789
222,Northern saw-whet owl,Aegolius acadicus,0.484,2,558.22,570.22,,Mariposa,37.28766,-120.12288
223,Common nighthawk boom,Chordeiles minor,0.999,3,4173.28,4185.28,audio/test2.flac,Yuba,39.2397,-121.28174
224,Woodpecker spp. drum,NA,0.999,3,1052.61,1064.61,,Mono,37.75312,-119.22282
225,Downy woodpecker call,Dryobates pubescens,0.747,3,2623.18,2635.18,audio/test3.flac,Marin,37.93863,-122.51187
226,Great horned owl,Bubo virginianus,0.415,2,8989.65,9001.65,audio/test2.flac,San Bernardino,34.74143,-114.93423
227,Northern flicker 'skew',Colaptes auratus,0.723,2,8288.66,8300.66,audio/test1.flac,Fresno,37.29161,-119.82569
228,Wrentit,Chamaea fasciata,0.647,1,7137.15,7149.15,,Plumas,39.92449,-120.43263
229,Woodpecker spp. drum,NA,0.957,2,10989.17,11001.17,audio/test2.flac,San Mateo,37.6728,-122.51659
230,Swainson's thrush,Catharus ustulatus,0.922,3,8314.01,8326.01,audio/test2.flac,Mariposa,37.42465,-120.07003
231,Wolf howl,Canis lupus,0.976,3,9924.02,9936.02,audio/test1.flac,Los Angeles,34.3107,-118.80338
232,Northern flicker series,Colaptes auratus,0.879,3,13489.82,13501.82,audio/test1.flac,Shasta,41.09401,-121.70841
233,Woodpecker spp. drum,NA,0.888,3,8314.68,8326.68,,Tuolumne,37.8329,-119.86128
234,Hermit thrush,Catharus guttatus,0.827,1,8185.48,8197.48,audio/test3.flac,Alpine,38.60743,-120.12433
235,Hermit thrush,Catharus guttatus,0.834,2,12909.49,12921.49,,Napa,38.34395,-122.39174
236,Marbled murrelet,Brachyramphus marmoratus,0.845,3,5475.08,5487.08,audio/test2.flac,Siskiyou,41.33851,-122.332
237,Common raven,Corvus corax,0.688,1,4406.26,4418.26,audio/test3.flac,Colusa,39.27929,-122.24905
