id,common_name,scientific_name,confidence,rank,start_time,end_time,audio_path,county,lat,lon,date,ARU_ID
46,Common nighthawk call,Chordeiles minor,0.986,2,9354.52,9366.52,audio/test1.flac,Merced,37.35559,-121.02044,2026-02-05,1334
47,Northern flicker 'skew',Colaptes auratus,0.801,3,791.25,803.25,audio/test3.flac,Shasta,40.86563,-121.83216,2026-01-20,9874
48,Hermit thrush,Catharus guttatus,0.681,2,7884.42,7896.42,,Monterey,36.77617,-120.88397,2026-01-28,1213
49,Common nighthawk boom,Chordeiles minor,0.999,2,9601.67,9613.67,audio/test2.flac,San Joaquin,37.63856,-121.1545,2026-04-08,9874
50,Wrentit,Chamaea fasciata,0.739,3,7169.95,7181.95,audio/test1.flac,San Benito,36.70723,-121.08614,2026-02-13,4653
51,Dog barks,NA,0.312,1,13041.22,13053.22,audio/test1.flac,Yolo,38.44794,-121.84481,2026-01-14,1334
52,Woodpecker spp. drum,NA,0.999,1,1772.93,1784.93,,Santa Barbara,35.04913,-119.46398,2026-01-12,2212
53,Wrentit,Chamaea fasciata,0.771,1,6455.26,6467.26,audio/test3.flac,Amador,38.20439,-120.32166,2026-02-18,1556
54,Swainson's thrush,Catharus ustulatus,0.901,2,2257.1,2269.1,audio/test1.flac,Napa,38.30855,-122.30763,2026-01-13,2212
55,Common nighthawk boom,Chordeiles minor,0.755,2,8473.83,8485.83,audio/test2.flac,Riverside,33.75081,-115.91579,2026-02-15,1334
56,Marbled murrelet,Brachyramphus marmoratus,0.762,1,10330.49,10342.49,audio/test3.flac,Butte,39.55961,-121.97797,2026-04-19,4653
57,Dog barks,NA,0.286,2,12535.0,12547.0,audio/test2.flac,San Benito,36.3836,-120.8923,2026-02-14,4653
58,Olive-sided flycatcher,Contopus cooperi,0.853,1,3328.33,3340.33,audio/test2.flac,Alameda,37.57623,-121.92761,2026-03-19,3332
59,Downy woodpecker call,Dryobates pubescens,0.473,3,9157.76,9169.76,audio/test3.flac,San Francisco,37.793,-122.41381,2026-02-03,1213
60,Northern saw-whet owl,Aegolius acadicus,0.606,2,2784.13,2796.13,audio/test1.flac,Solano,38.42477,-122.09482,2026-04-14,1556
61,Wrentit,Chamaea fasciata,0.781,2,1997.56,2009.56,audio/test1.flac,Lake,39.37173,-122.44542,2026-01-06,1213
62,Northern flicker series,Colaptes auratus,0.599,3,9449.6,9461.6,audio/test2.flac,Tuolumne,38.0332,-120.4221,2026-04-04,2212
63,Swainson's thrush,Catharus ustulatus,0.696,3,4791.02,4803.02,,Shasta,41.17534,-122.25883,2026-02-28,3332
64,Canada goose,Branta canadensis,0.962,1,12949.26,12961.26,audio/test3.flac,Yolo,38.62562,-121.94375,2026-03-10,2452
65,Northern flicker 'skew',Colaptes auratus,0.863,2,9253.85,9265.85,,Madera,36.8418,-120.14204,2026-01-16,4653
66,Woodpecker spp. drum,NA,0.919,1,8214.22,8226.22,audio/test3.flac,Ventura,34.30093,-118.93558,2026-04-29,1556
67,Northern flicker 'skew',Colaptes auratus,0.548,1,11562.35,11574.35,audio/test2.flac,Shasta,40.28114,-121.33515,2026-02-18,1556
68,Swainson's thrush,Catharus ustulatus,0.785,2,8342.87,8354.87,audio/test2.flac,Solano,38.23154,-122.27861,2026-01-11,1556
69,Dog barks,NA,0.299,3,14101.5,14113.5,audio/test3.flac,San Bernardino,34.28479,-116.74972,2026-03-12,2212
70,Dog barks,NA,0.13,3,13084.26,13096.26,audio/test3.flac,San Bernardino,34.24629,-114.70361,2026-02-07,2212
71,Common nighthawk boom,Chordeiles minor,0.799,2,7501.92,7513.92,audio/test3.flac,Del Norte,41.55279,-123.72593,2026-04-17,4653
72,Hermit thrush,Catharus guttatus,0.891,2,5461.8,5473.8,audio/test1.flac,San Diego,33.32835,-116.64489,2026-03-22,4653
73,Great horned owl,Bubo virginianus,0.6,3,607.48,619.48,audio/test3.flac,Alameda,37.86521,-121.69356,2026-03-21,1334
74,Great horned owl,Bubo virginianus,0.408,3,1418.18,1430.18,audio/test2.flac,Sierra,39.82302,-120.58216,2026-04-24,2212
75,Canada goose,Branta canadensis,0.88,2,13401.18,13413.18,audio/test3.flac,Modoc,41.55751,-120.7849,2026-04-21,4653
76,Dog barks,NA,0.221,2,13577.68,13589.68,,Napa,38.79267,-122.25665,2026-02-16,2452
77,Downy woodpecker call,Dryobates pubescens,0.577,2,11045.58,11057.58,,Santa Barbara,34.60039,-119.2218,2026-03-15,1334
78,Northern flicker series,Colaptes auratus,0.47,2,8686.58,8698.58,audio/test3.flac,Fresno,37.24129,-120.58364,2026-01-25,2212
79,Dog barks,NA,0.142,1,2965.67,2977.67,,El Dorado,38.75604,-120.20969,2026-04-01,1334
80,Canada goose,Branta canadensis,0.833,1,10576.02,10588.02,audio/test2.flac,Marin,38.15578,-122.40206,2026-01-09,3332
81,Woodpecker spp. drum,NA,0.709,1,1846.65,1858.65,audio/test3.flac,Mono,38.37467,-117.93646,2026-01-06,1556
82,Olive-sided flycatcher,Contopus cooperi,0.782,3,10243.32,10255.32,audio/test2.flac,San Mateo,37.21195,-122.17213,2026-03-26,2452
83,Northern saw-whet owl,Aegolius acadicus,0.531,3,13374.75,13386.75,audio/test2.flac,Calaveras,38.32244,-120.87468,2026-01-30,2212
84,Northern flicker 'skew',Colaptes auratus,0.941,3,12116.38,12128.38,,Monterey,36.69464,-121.05491,2026-04-09,1556
85,Wolf howl,Canis lupus,0.619,1,9667.01,9679.01,,Modoc,41.78976,-120.80809,2026-02-07,1213
86,Swainson's thrush,Catharus ustulatus,0.675,3,8492.7,8504.7,audio/test1.flac,Santa Cruz,37.06238,-121.76803,2026-01-11,4653
87,Marbled murrelet,Brachyramphus marmoratus,0.815,1,14090.11,14102.11,audio/test1.flac,Mariposa,37.27755,-120.26566,2026-04-20,2212
88,Steller's jay,Cyanocitta stelleri,0.396,1,9414.42,9426.42,audio/test3.flac,Yuba,39.14538,-121.50241,2026-01-30,2452
89,Woodpecker spp. drum,NA,0.662,2,10048.19,10060.19,audio/test1.flac,Tuolumne,37.86108,-119.92737,2026-04-21,9874
90,Olive-sided flycatcher,Contopus cooperi,0.717,3,9108.33,9120.33,,Siskiyou,41.84672,-121.80454,2026-01-13,1334
91,Woodpecker spp. drum,NA,0.999,1,3601.89,3613.89,,San Mateo,37.24393,-122.27273,2026-02-18,1213
92,Canada goose,Branta canadensis,0.781,3,11396.33,11408.33,audio/test2.flac,Stanislaus,37.32987,-120.86967,2026-02-05,9874
93,Woodpecker spp. drum,NA,0.783,1,13488.34,13500.34,audio/test3.flac,Glenn,39.67052,-122.72513,2026-02-28,3332
94,Swainson's thrush,Catharus ustulatus,0.922,3,12711.8,12723.8,audio/test1.flac,Butte,39.77233,-121.21508,2026-03-23,3332
95,Common raven,Corvus corax,0.824,3,7776.39,7788.39,,Santa Cruz,37.17504,-122.27997,2026-04-17,2212
96,Wrentit,Chamaea fasciata,0.623,1,10055.86,10067.86,audio/test2.flac,Humboldt,40.12861,-124.33751,2026-02-16,4653
97,Steller's jay,Cyanocitta stelleri,0.87,1,9632.99,9644.99,audio/test2.flac,San Bernardino,35.72661,-117.3342,2026-01-21,1213
98,Northern flicker series,Colaptes auratus,0.589,3,1294.94,1306.94,audio/test1.flac,Shasta,40.93653,-122.8189,2026-02-17,2212
99,Sooty grouse,Dendragapus fuliginosus,0.947,1,3598.64,3610.64,,Riverside,33.43738,-115.52356,2026-02-15,3332
100,Northern flicker 'skew',Colaptes auratus,0.912,3,884.59,896.59,audio/test3.flac,Shasta,40.81845,-122.02352,2026-01-27,1334
101,Downy woodpecker call,Dryobates pubescens,0.37,1,7567.63,7579.63,audio/test3.flac,Modoc,41.33864,-120.42256,2026-03-27,1213
102,Wrentit,Chamaea fasciata,0.848,1,3102.58,3114.58,audio/test2.flac,San Benito,36.33147,-121.31514,2026-02-04,3332
103,Dog barks,NA,0.354,3,7067.81,7079.81,audio/test3.flac,Trinity,41.07243,-123.05914,2026-03-31,1334
104,Hermit thrush,Catharus guttatus,0.633,1,4368.0,4380.0,,Trinity,40.76014,-122.48639,2026-04-30,3332
105,Downy woodpecker call,Dryobates pubescens,0.369,1,4300.05,4312.05,audio/test3.flac,Imperial,32.78646,-114.79533,2026-03-29,1556
106,Hermit thrush,Catharus guttatus,0.875,1,2364.11,2376.11,audio/test1.flac,Fresno,36.2351,-119.57143,2026-03-24,3332
107,Northern flicker series,Colaptes auratus,0.824,2,8499.71,8511.71,audio/test2.flac,Glenn,39.67808,-122.33039,2026-01-10,9874
108,Wrentit,Chamaea fasciata,0.967,1,7335.76,7347.76,audio/test1.flac,Solano,38.1993,-121.67505,2026-03-19,1213
109,Northern saw-whet owl,Aegolius acadicus,0.48,3,8461.5,8473.5,,Plumas,40.03322,-120.93301,2026-03-23,4653
110,Woodpecker spp. drum,NA,0.999,2,7858.3,7870.3,audio/test3.flac,Trinity,40.18341,-123.52579,2026-01-22,1213
111,Canada goose,Branta canadensis,0.901,1,4872.49,4884.49,audio/test2.flac,Alpine,38.56262,-119.75131,2026-03-10,1213
112,Great horned owl,Bubo virginianus,0.491,1,6992.9,7004.9,,Amador,38.26905,-120.49434,2026-04-04,9874
113,Hermit thrush,Catharus guttatus,0.787,3,1632.85,1644.85,audio/test3.flac,Solano,38.34749,-122.13214,2026-02-01,9874
114,Marbled murrelet,Brachyramphus marmoratus,0.999,1,1824.06,1836.06,audio/test2.flac,Santa Barbara,34.49558,-120.16789,2026-01-21,2452
115,Canada goose,Branta canadensis,0.766,2,7592.24,7604.24,audio/test2.flac,Colusa,39.14606,-122.61263,2026-03-01,2212
116,Common nighthawk boom,Chordeiles minor,0.846,1,11108.46,11120.46,,Humboldt,40.77324,-123.79207,2026-02-18,1213
117,Northern flicker 'skew',Colaptes auratus,0.777,3,2157.78,2169.78,audio/test2.flac,Orange,33.4442,-117.89062,2026-02-04,1334
118,Great horned owl,Bubo virginianus,0.501,2,6589.85,6601.85,audio/test1.flac,Yolo,38.63292,-121.98147,2026-04-29,1334
119,Northern flicker series,Colaptes auratus,0.642,3,3832.72,3844.72,audio/test3.flac,Tuolumne,37.70032,-120.51683,2026-03-23,2452
120,Great horned owl,Bubo virginianus,0.317,2,9922.21,9934.21,audio/test1.flac,Lake,38.84844,-122.87374,2026-03-30,1213
121,Northern flicker series,Colaptes auratus,0.926,1,9431.14,9443.14,,Modoc,41.95225,-120.02288,2026-03-13,3332
122,Wolf howl,Canis lupus,0.761,3,11515.72,11527.72,,Los Angeles,34.23137,-118.86293,2026-01-29,1556
123,Dog barks,NA,0.38,3,6344.85,6356.85,audio/test1.flac,Calaveras,38.12315,-120.20773,2026-03-29,1556
124,Marbled murrelet,Brachyramphus marmoratus,0.889,3,4021.12,4033.12,audio/test2.flac,Mendocino,39.55608,-123.69037,2026-02-11,1213
125,Marbled murrelet,Brachyramphus marmoratus,0.658,2,2748.14,2760.14,audio/test2.flac,San Diego,33.39192,-117.3591,2026-04-18,2452
126,Wrentit,Chamaea fasciata,0.848,3,11140.25,11152.25,audio/test2.flac,Contra Costa,37.94691,-122.41298,2026-04-09,2212
127,Swainson's thrush,Catharus ustulatus,0.997,1,5545.86,5557.86,audio/test1.flac,Yuba,39.43747,-121.37889,2026-04-10,3332
128,Wrentit,Chamaea fasciata,0.708,1,480.18,492.18,audio/test1.flac,San Joaquin,38.15309,-121.47828,2026-01-08,3332
129,Woodpecker spp. drum,NA,0.715,3,2823.79,2835.79,audio/test2.flac,Stanislaus,37.45623,-121.15372,2026-01-30,3332
130,Marbled murrelet,Brachyramphus marmoratus,0.809,2,9708.96,9720.96,audio/test2.flac,Siskiyou,41.36188,-123.51088,2026-04-16,3332
131,Marbled murrelet,Brachyramphus marmoratus,0.872,2,1404.54,1416.54,audio/test2.flac,Stanislaus,37.65474,-120.58792,2026-01-05,4653
132,Olive-sided flycatcher,Contopus cooperi,0.807,3,271.9,283.9,audio/test2.flac,Solano,38.16111,-122.08356,2026-04-14,2212
133,Woodpecker spp. drum,NA,0.697,1,4374.37,4386.37,,San Mateo,37.49729,-122.32329,2026-02-10,3332
134,Northern flicker series,Colaptes auratus,0.723,2,12551.75,12563.75,,Stanislaus,37.78044,-121.22236,2026-02-21,2452
135,Canada goose,Branta canadensis,0.759,2,2182.47,2194.47,audio/test2.flac,Lake,38.98334,-122.6669,2026-02-04,9874
136,Wrentit,Chamaea fasciata,0.777,2,9591.41,9603.41,audio/test1.flac,Del Norte,41.90139,-123.9123,2026-01-09,4653
137,Olive-sided flycatcher,Contopus cooperi,0.777,1,2034.42,2046.42,audio/test3.flac,Butte,39.93166,-121.9002,2026-01-28,9874
138,Northern saw-whet owl,Aegolius acadicus,0.252,2,12999.14,13011.14,,Tulare,36.21802,-118.73799,2026-04-27,2212
139,Woodpecker spp. drum,NA,0.736,3,10399.66,10411.66,audio/test1.flac,Ventura,34.47693,-118.67848,2026-05-01,1213
140,Great horned owl,Bubo virginianus,0.687,1,11166.68,11178.68,audio/test2.flac,Sierra,39.83048,-120.03699,2026-03-14,4653
141,Downy woodpecker call,Dryobates pubescens,0.602,3,11851.51,11863.51,audio/test2.flac,Trinity,40.57829,-123.53738,2026-04-23,1556
142,Olive-sided flycatcher,Contopus cooperi,0.868,2,11462.49,11474.49,audio/test1.flac,Tuolumne,38.21202,-119.41722,2026-04-02,2452
143,Common nighthawk call,Chordeiles minor,0.683,2,13611.35,13623.35,,Tehama,40.23597,-122.8803,2026-02-10,4653
144,Northern flicker 'skew',Colaptes auratus,0.824,3,6682.97,6694.97,audio/test1.flac,San Bernardino,34.60597,-116.5561,2026-01-28,2452
145,Marbled murrelet,Brachyramphus marmoratus,0.703,2,8176.9,8188.9,audio/test2.flac,Imperial,32.93035,-115.67255,2026-03-25,1213
146,Wolf howl,Canis lupus,0.677,1,12164.11,12176.11,audio/test3.flac,Plumas,39.9154,-120.92477,2026-03-05,4653
147,Downy woodpecker call,Dryobates pubescens,0.616,1,11152.06,11164.06,audio/test2.flac,Amador,38.38719,-120.78067,2026-02-20,1556
148,Wrentit,Chamaea fasciata,0.876,1,10242.79,10254.79,audio/test1.flac,Stanislaus,37.30483,-121.30657,2026-04-24,2452
149,Steller's jay,Cyanocitta stelleri,0.633,2,7858.01,7870.01,audio/test2.flac,Placer,39.36159,-120.33538,2026-04-28,4653
150,Common raven,Corvus corax,0.817,2,11335.6,11347.6,audio/test3.flac,Ventura,34.44738,-119.33625,2026-03-24,9874
151,Common nighthawk call,Chordeiles minor,0.633,2,3624.95,3636.95,audio/test1.flac,Sutter,39.27021,-121.47296,2026-02-28,3332
152,Marbled murrelet,Brachyramphus marmoratus,0.996,3,11227.53,11239.53,,Fresno,37.23723,-119.25899,2026-01-19,1213
153,Canada goose,Branta canadensis,0.878,3,6654.14,6666.14,audio/test3.flac,Yuba,39.30165,-121.18032,2026-02-03,1334
154,Marbled murrelet,Brachyramphus marmoratus,0.779,3,9603.61,9615.61,audio/test1.flac,Monterey,36.13762,-120.73002,2026-01-18,1556
155,Dog barks,NA,0.165,2,8329.76,8341.76,audio/test1.flac,San Francisco,37.8263,-122.48926,2026-02-01,1556
156,Dog barks,NA,0.1,1,3586.71,3598.71,,Calaveras,38.38773,-120.23921,2026-04-06,2212
157,Common raven,Corvus corax,0.867,1,10409.44,10421.44,audio/test1.flac,Santa Cruz,37.10755,-121.93427,2026-03-13,4653
158,Northern flicker series,Colaptes auratus,0.841,2,9803.2,9815.2,audio/test1.flac,Tuolumne,37.86574,-120.04026,2026-03-10,4653
159,Great horned owl,Bubo virginianus,0.692,3,14244.82,14256.82,audio/test1.flac,San Francisco,37.71619,-122.49945,2026-02-03,2212
160,Wolf howl,Canis lupus,0.716,2,13164.37,13176.37,audio/test3.flac,Santa Clara,37.01211,-121.65721,2026-04-06,2212
161,Common nighthawk call,Chordeiles minor,0.973,2,850.81,862.81,audio/test3.flac,Imperial,33.19545,-115.85851,2026-03-16,2212
162,Dog barks,NA,0.32,2,10495.67,10507.67,audio/test2.flac,Siskiyou,41.25349,-122.4387,2026-02-24,2212
163,Wrentit,Chamaea fasciata,0.843,3,8715.88,8727.88,audio/test3.flac,Contra Costa,37.91545,-122.40711,2026-04-25,1334
164,Common nighthawk call,Chordeiles minor,0.697,2,6466.37,6478.37,audio/test2.flac,San Francisco,37.82639,-122.40302,2026-03-16,4653
165,Dog barks,NA,0.324,3,6096.96,6108.96,,Placer,38.86491,-121.09848,2026-02-21,1213
166,Olive-sided flycatcher,Contopus cooperi,0.903,3,12409.91,12421.91,audio/test1.flac,Siskiyou,41.4516,-122.41677,2026-02-16,4653
167,Common nighthawk boom,Chordeiles minor,0.82,1,9002.6,9014.6,audio/test3.flac,Del Norte,41.55531,-124.31552,2026-01-29,1556
168,Wolf howl,Canis lupus,0.672,2,1799.07,1811.07,audio/test2.flac,Orange,33.45101,-117.83161,2026-01-18,1334
169,Northern flicker series,Colaptes auratus,0.592,3,13143.17,13155.17,audio/test2.flac,Lake,38.81008,-122.39092,2026-03-07,2212
170,Steller's jay,Cyanocitta stelleri,0.723,3,4877.64,4889.64,audio/test3.flac,San Mateo,37.38389,-122.3349,2026-03-05,1213
171,Northern saw-whet owl,Aegolius acadicus,0.373,1,8496.77,8508.77,,Calaveras,38.28726,-120.11356,2026-01-12,2452
172,Northern flicker 'skew',Colaptes auratus,0.999,3,10550.67,10562.67,audio/test1.flac,Kings,35.9692,-119.82659,2026-04-07,9874
173,Northern flicker 'skew',Colaptes auratus,0.966,2,3701.78,3713.78,audio/test1.flac,San Mateo,37.52422,-122.45961,2026-01-07,1556
174,Northern flicker 'skew',Colaptes auratus,0.995,1,11422.09,11434.09,audio/test1.flac,Tehama,40.21744,-122.95049,2026-04-21,1213
175,Common nighthawk boom,Chordeiles minor,0.945,1,7308.38,7320.38,,Shasta,40.38382,-121.64366,2026-01-15,2452
176,Wolf howl,Canis lupus,0.718,3,6106.81,6118.81,audio/test3.flac,Orange,33.61792,-118.03518,2026-01-20,1334
177,Canada goose,Branta canadensis,0.935,1,9832.37,9844.37,audio/test1.flac,Santa Clara,37.38758,-121.9986,2026-03-22,4653
178,Common nighthawk boom,Chordeiles minor,0.75,1,396.93,408.93,audio/test2.flac,Yolo,38.83162,-122.01562,2026-01-21,1334
179,Northern flicker series,Colaptes auratus,0.496,2,11129.37,11141.37,audio/test2.flac,Glenn,39.54424,-122.52589,2026-04-12,1556
180,Great horned owl,Bubo virginianus,0.602,2,5100.43,5112.43,audio/test1.flac,Ventura,34.1028,-119.30929,2026-03-29,1213
181,Sooty grouse,Dendragapus fuliginosus,0.788,3,6633.54,6645.54,audio/test2.flac,San Joaquin,37.82075,-121.08724,2026-02-24,1556
182,Marbled murrelet,Brachyramphus marmoratus,0.793,3,8555.58,8567.58,audio/test2.flac,San Mateo,37.46763,-122.25296,2026-03-18,9874
183,Common nighthawk boom,Chordeiles minor,0.999,2,7950.64,7962.64,,El Dorado,38.86139,-120.41961,2026-01-09,1556
184,Woodpecker spp. drum,NA,0.912,2,5318.47,5330.47,audio/test3.flac,Lake,39.01678,-122.75921,2026-02-19,9874
185,Northern flicker series,Colaptes auratus,0.626,2,9810.46,9822.46,audio/test3.flac,Tuolumne,38.21124,-119.28472,2026-02-18,9874
186,Common nighthawk boom,Chordeiles minor,0.923,2,5277.15,5289.15,audio/test1.flac,Kern,35.28117,-119.54976,2026-03-18,9874
187,Northern flicker series,Colaptes auratus,0.721,3,9900.79,9912.79,,Ventura,34.61455,-118.86206,2026-03-01,3332
188,Common raven,Corvus corax,0.666,3,4937.44,4949.44,audio/test2.flac,Sacramento,38.56729,-121.67906,2026-03-09,9874
189,Marbled murrelet,Brachyramphus marmoratus,0.97,2,14266.57,14278.57,audio/test2.flac,Siskiyou,41.84912,-121.45915,2026-02-02,9874
190,Swainson's thrush,Catharus ustulatus,0.865,1,13535.28,13547.28,,Del Norte,41.8922,-124.06713,2026-03-12,2212
191,Dog barks,NA,0.413,1,4995.29,5007.29,,Napa,38.46151,-122.4071,2026-04-21,1556
192,Great horned owl,Bubo virginianus,0.619,3,13859.71,13871.71,audio/test2.flac,Nevada,39.34595,-120.29365,2026-05-01,2452
193,Canada goose,Branta canadensis,0.999,1,4397.07,4409.07,,Sonoma,38.74987,-122.74529,2026-01-02,2452
194,Marbled murrelet,Brachyramphus marmoratus,0.635,2,9096.43,9108.43,audio/test3.flac,Sonoma,38.43132,-122.89826,2026-03-29,1334
195,Marbled murrelet,Brachyramphus marmoratus,0.77,3,8396.55,8408.55,audio/test1.flac,El Dorado,38.75066,-120.10973,2026-04-03,2212
196,Sooty grouse,Dendragapus fuliginosus,0.87,3,10244.71,10256.71,audio/test3.flac,Merced,37.2501,-120.77233,2026-01-15,1334
197,Woodpecker spp. drum,NA,0.643,3,2720.09,2732.09,audio/test1.flac,Colusa,39.02589,-122.45195,2026-03-29,9874
198,Northern flicker series,Colaptes auratus,0.713,3,631.4,643.4,,San Luis Obispo,35.78902,-120.10239,2026-04-24,1556
199,Woodpecker spp. drum,NA,0.999,2,9723.72,9735.72,audio/test2.flac,Contra Costa,38.05098,-121.86578,2026-03-10,2212
200,Common nighthawk call,Chordeiles minor,0.976,1,4447.82,4459.82,,Kern,35.45368,-118.31482,2026-04-07,1556
201,Downy woodpecker call,Dryobates pubescens,0.562,2,6676.61,6688.61,audio/test2.flac,Placer,39.13338,-120.50247,2026-02-04,1556
202,Common raven,Corvus corax,0.739,3,3594.56,3606.56,,Del Norte,41.71959,-124.19893,2026-04-09,4653
