,index,common_name,scientific_name,count
95,19,Black-throated Green Warbler,Setophaga virens,2
96,171,White-fringed Antwren,Formicivora grisea,2
97,155,Townsend's Warbler,Setophaga townsendi,2
98,32,Cassin's Vireo,Vireo cassinii,2
99,77,Gila Woodpecker,Melanerpes uropygialis,2
100,40,Chopi Blackbird,Gnorimopsar chopi,2
101,84,Great Bittern,Botaurus stellaris,2
102,87,Green Shrike-Vireo,Vireolanius pulchellus,2
103,71,Eurasian Thick-knee,Burhinus oedicnemus,2
104,39,Chipping Sparrow,Spizella passerina,2
105,73,Evergreen-forest Warbler,Bradypterus lopezi,2
106,78,Goeldi's Antbird,Akletos goeldii,2
107,97,Iberian Magpie,Cyanopica cooki,2
108,74,Fieldfare,Turdus pilaris,1
109,149,Spotted Pardalote,Pardalotus punctatus,1
110,72,Eurasian Woodcock,Scolopax rusticola,1
111,18,Black-throated Gray Warbler,Setophaga nigrescens,1
112,14,Black Kite,Milvus migrans,1
113,42,Clay-colored Sparrow,Spizella pallida,1
114,13,Black Antbird,Cercomacroides serva,1
115,70,Eurasian Siskin,Spinus spinus,1
116,69,Eurasian Scops-Owl,Otus scops,1
117,146,Southern Boobook,Ninox boobook,1
118,159,Vesper Sparrow,Pooecetes gramineus,1
119,68,Eurasian Oystercatcher,Haematopus ostralegus,1
120,11,Belted Kingfisher,Megaceryle alcyon,1
121,153,Tawny Frogmouth,Podargus strigoides,1
122,99,Lazuli Bunting,Passerina amoena,1
123,162,Water Pipit,Anthus spinoletta,1
124,164,Western Capercaillie,Tetrao urogallus,1
125,181,Yellow-eyed Junco,Junco phaeonotus,1
126,2,American Bullfrog,Lithobates catesbeianus,1
127,55,Cordilleran Flycatcher,Empidonax occidentalis,1
128,49,Common Nightingale,Luscinia megarhynchos,1
129,177,Wren-like Rushbird,Phleocryptes melanops,1
130,176,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,1
131,175,Wood Lark,Lullula arborea,1
132,57,Costa's Hummingbird,Calypte costae,1
133,173,White-winged Crossbill,Loxia leucoptera,1
134,48,Common House-Martin,Delichon urbicum,1
135,60,Eastern Bluebird,Sialia sialis,1
136,61,Eastern Phoebe,Sayornis phoebe,1
137,46,Common Chiffchaff,Phylloscopus collybita,1
138,168,White-backed Woodpecker,Dendrocopos leucotos,1
139,44,Collared Flycatcher,Ficedula albicollis,1
140,65,Eurasian Crag-Martin,Ptyonoprogne rupestris,1
141,66,Eurasian Eagle-Owl,Bubo bubo,1
142,9,Bearded Bellbird,Procnias averano,1
143,141,Short-crested Flycatcher,Myiarchus ferox,1
144,143,Small Buttonquail,Turnix sylvaticus,1
145,110,Mountain Bamboo-Partridge,Bambusicola fytchii,1
146,118,Olive-crowned Crescentchest,Melanopareia maximiliani,1
147,52,Common Redstart,Phoenicurus phoenicurus,1
148,89,Hazel Grouse,Tetrastes bonasia,1
149,90,Hepatic Tanager,Piranga flava,1
150,113,Northern Cardinal,Cardinalis cardinalis,1
151,112,Northern Beardless-Tyrannulet,Camptostoma imberbe,1
152,38,Chestnut-sided Warbler,Setophaga pensylvanica,1
153,93,Hooded Warbler,Setophaga citrina,1
154,86,Great Tit,Parus major,1
155,108,Mauritius Fody,Foudia rubra,1
156,34,Cherrie's Antwren,Myrmotherula cherriei,1
157,35,Chestnut-backed Antbird,Poliocrania exsul,1
158,94,Horned Lark,Eremophila alpestris,1
159,37,Chestnut-bellied Thrush,Turdus fulviventris,1
160,103,Little Spiderhunter,Arachnothera longirostra,1
161,102,Little Bittern,Ixobrychus minutus,1
162,119,Oriental Greenfinch,Chloris sinica,1
163,30,Carmiol's Tanager,Chlorothraupis carmioli,1
164,79,Golden-winged Warbler,Vermivora chrysoptera,1
165,133,Rose-breasted Grosbeak,Pheucticus ludovicianus,1
166,98,Lark Sparrow,Chondestes grammacus,1
167,140,Seaside Sparrow,Ammospiza maritima,1
168,139,Scaled Quail,Callipepla squamata,1
169,22,Broad-winged Hawk,Buteo platypterus,1
170,136,Rufous-crowned Sparrow,Aimophila ruficeps,1
171,135,Rufous-capped Warbler,Basileuterus rufifrons,1
172,82,Gray Heron,Ardea cinerea,1
173,132,Rook,Corvus frugilegus,1
174,122,Pale-vented Thrush,Turdus obsoletus,1
175,23,Brown-backed Solitaire,Myadestes occidentalis,1
176,130,Rock Sparrow,Petronia petronia,1
177,129,Robust Woodpecker,Campephilus robustus,1
178,128,Red-faced Warbler,Cardellina rubrifrons,1
179,127,Red Crossbill,Loxia curvirostra,1
180,83,Gray Vireo,Vireo vicinior,1
181,29,Canyon Towhee,Melozone fusca,1
182,0,Abert's Towhee,Melozone aberti,1
